Pattern,Duration
P4,0.056666667
P2,0.558333333
P2,0.313888889
P5,0.196944444
P5,0.169444444
P4,0.457777778
P4,0.155
P2,0.268611111
P1,0.120555556
P5,0.011388889
P5,0.106388889
P5,0.006388889
P4,0.27
P5,0.023333333
P5,0.001111111
P4,0.830277778
P2,0.275555556
P4,0.350833333
P3,0.071666667
P4,0.0275
P2,0.27
P5,0.201111111
P3,0.211388889
P2,0.851944444
P5,0.055833333
P5,0.0075
P2,0.245
P1,0.964722222
P3,1.479444444
P3,0.008055556
P3,0.716111111
P4,0.0525
P3,0.575833333
P4,0.047777778
P4,0.104444444
P5,0.003611111
P3,30.06305556
P4,0.559444444
P4,0.323333333
P4,0.345555556
P4,0.091666667
P4,0.145555556
P4,0.023888889
P4,0.851666667
P4,0.463333333
P4,0.023611111
P5,0.038888889
P2,0.214444444
P3,0.098888889
P3,0.279166667
P1,1.298333333
P2,0.279166667
P1,3.090833333
P4,0.035277778
P4,0.123888889
P5,0.035555556
P5,2.995833333
P4,0.948611111
P2,0.041666667
P4,0.133888889
P5,0.131111111
P2,2.835
P4,3.431666667
P3,0.563888889
P2,0.084166667
P4,0.036388889
P2,0.8275
P2,11.56944444
P2,0.935555556
P2,0.2425
P2,0.487222222
P3,58.25944444
P2,0.163333333
P3,6.784166667
P2,4.835277778
P4,0.0425
P1,1.333611111
P4,2.351111111
P4,3.125555556
P4,7.009722222
P4,8.381388889
P4,14.75916667
P4,16.93277778
P4,0.433888889
P5,0.017222222
P5,0.082777778
P5,0.010277778
P5,0.009166667
P5,4.460277778
P5,0.010555556
P5,0.012222222
P5,0.027777778
P5,0.109722222
P5,0.006666667
P5,0.014722222
P5,0.016388889
P5,0.023055556
P5,0.008888889
P5,0.005833333
P4,0.753611111
P5,0.776666667
P2,2.751388889
P5,0.032777778
P4,2.507777778
P5,4.530555556
P5,0.035833333
P5,1.593055556
P1,1.283055556
P2,2.244444444
P2,15.4875
P3,0.0975
P3,25.2525
P2,3.746388889
P2,1.176111111
P1,1.946388889
P2,0.463611111
P3,0.681666667
P3,1.150555556
P3,11.31
P3,0.244444444
P3,0.036666667
P1,3.381388889
P2,2.663888889
P4,5.412222222
P2,0.132777778
P4,4.130833333
P2,3.069166667
P2,0.130277778
P2,0.966666667
P2,0.162777778
P4,9.556944444
P2,4.243611111
P2,1.564444444
P3,0.356388889
P3,0.437222222
P4,0.286944444
P4,0.042777778
P2,0.080833333
P2,18.28861111
P2,49.40027778
P2,14.45
P4,3.558611111
P4,0.076111111
P4,0.033055556
P4,0.296388889
P4,0.102777778
P4,2.601944444
P4,8.6875
P4,0.2275
P4,9.395833333
P4,8.6875
P4,0.862222222
